"id","Size","color"
"art collectors","0.487","#E63946"
"fine art fans","0.452","#E63946"
"impulsive shoppers","0.441","#E63946"
"museum visitors","0.424","#E63946"
"art aficionados","0.424","#E63946"
"fingerpainting fans","0.381","#E63946"
"pottery fans","0.377","#E63946"
"ceramic fans","0.377","#E63946"
"coin collectors","0.373","#E63946"
"art fans","0.368","#E63946"
"art aficionados- learning more","0.368","#E63946"
"art and theatre fans","0.368","#E63946"
"book collectors","0.367","#E63946"
"sculpting fans","0.363","#E63946"
"china interested","0.362","#E63946"
"painting fans","0.355","#E63946"
"home design fans- feng shui","0.354","#E63946"
"elegant calligraphers","0.353","#E63946"
"aspiring artists","0.352","#E63946"
"art and photography books readers","0.352","#E63946"
"trade fair businessmen","0.348","#E63946"
"sports memorabilia collectors","0.346","#E63946"
"chinese cuisine fans","0.33","#E63946"
"tai chi practitioners","0.328","#E63946"
"professional artists","0.327","#E63946"
"religious devotees- buddhism","0.321","#E63946"
"diorama creators","0.32","#E63946"
"archaeology buffs","0.319","#E63946"
"basketball fans- attendees","0.318","#E63946"
"history buffs","0.31","#E63946"
"crystal collectors","0.309","#E63946"
"miniature art fans","0.308","#E63946"
"doll collectors","0.307","#E63946"
"home design fans- tableware","0.307","#E63946"
"bonsai tree growers","0.306","#E63946"
"jewellery makers","0.306","#F77F00"
"curators and museum staff","0.306","#F77F00"
"sketching fans","0.303","#F77F00"
"furniture builders","0.301","#F77F00"
"asia interested","0.3","#F77F00"
"kung fu practitioners","0.298","#F77F00"
"hong kong interested","0.298","#F77F00"
"tapestry creators","0.298","#F77F00"
"drawing fans","0.29","#F77F00"
"cartier fans","0.29","#F77F00"
"mahjong players","0.289","#F77F00"
"luxury jewellery buyers- female","0.288","#F77F00"
"baseball fans","0.287","#F77F00"
"history book readers","0.285","#F77F00"
"home design fans- decorating","0.285","#F77F00"
"home design fans- interior design","0.285","#F77F00"
"home design fans","0.285","#F77F00"
"emilio pucci fans","0.285","#F77F00"
"isabel marant fans","0.283","#F77F00"
"luxury accessory wearers- female","0.283","#F77F00"
"glassblowing gurus","0.283","#F77F00"
"home design fans- paint","0.282","#F77F00"
"japanese cuisine fans","0.281","#F77F00"
"swarovski fans","0.278","#F77F00"
"wood carving artists","0.276","#F77F00"
"kitchen upgraders- kitchen furniture","0.275","#F77F00"
"tiffany & co. fans","0.274","#F77F00"
"home design fans- dining room furniture","0.274","#F77F00"
"louis vuitton fans","0.273","#F77F00"
"bridge players","0.273","#F77F00"
"mainstream jewellery buyers- female","0.273","#F77F00"
